,url,app,lang_key,restriction,keyword
71,app=core&module=settings&controller=posting&tab=urlFilters&searchResult=ipb_url_blacklist,core,ipb_url_blacklist,posting_manage,blacklist
72,app=core&module=settings&controller=posting&tab=urlFilters&searchResult=form_links_external,core,links_external,posting_manage,target
73,app=core&module=settings&controller=posting&tab=urlFilters&searchResult=form_links_external,core,links_external,posting_manage,window
74,app=core&module=settings&controller=posting&tab=urlFilters&searchResult=form_links_external,core,links_external,posting_manage,link
75,app=core&module=settings&controller=posting&tab=urlFilters&searchResult=form_links_external,core,links_external,posting_manage,tab
76,app=core&module=settings&controller=posting&tab=urlFilters,core,ipb_url_filter_option,posting_manage_url,urls
77,app=core&module=settings&controller=posting&tab=urlFilters&searchResult=form_links_external,core,links_external,posting_manage,blank
78,app=core&module=settings&controller=posting&tab=urlFilters,core,ipb_url_filter_option,posting_manage_url,whitelist
79,app=core&module=settings&controller=posting&tab=tags&searchResult=tags_can_prefix,core,tags_can_prefix,posting_manage,prefix
80,app=core&module=settings&controller=posting&tab=tags&searchResult=tags_can_prefix,core,tags_can_prefix,posting_manage,prefixes
81,app=core&module=settings&controller=posting&tab=urlFilters,core,ipb_url_filter_option,posting_manage_url,blacklist
82,app=core&module=settings&controller=posting&tab=urlFilters,core,ipb_url_filter_option,posting_manage_url,links
83,app=core&module=settings&controller=posting&tab=tags,core,tags,posting_manage_tags,tags
84,app=core&module=settings&controller=posting&tab=tags,core,tags,posting_manage_tags,tagging
85,app=core&module=settings&controller=posting&tab=tags,core,tags,posting_manage_tags,prefixes
86,app=core&module=settings&controller=posting&tab=profanityFilters,core,profanity,posting_manage_profanity,swear words
87,app=core&module=settings&controller=posting&tab=polls,core,polls,posting_manage_polls,vote
88,app=core&module=settings&controller=posting&tab=profanityFilters,core,profanity,posting_manage_profanity,bad words
89,app=core&module=settings&controller=posting&tab=profanityFilters,core,profanity,posting_manage_profanity,profanity
90,app=core&module=settings&controller=posting&tab=polls,core,polls,posting_manage_polls,question
91,app=core&module=settings&controller=posting&tab=polls,core,polls,posting_manage_polls,polls
92,app=core&module=settings&controller=posting&tab=general&searchResult=form_reviews_rating_out_of,core,reviews_rating_out_of,,reviews
93,app=core&module=settings&controller=posting&tab=general&searchResult=form_reviews_rating_out_of,core,reviews_rating_out_of,,stars
94,app=core&module=settings&controller=posting&tab=general&searchResult=form_topic_redirect_prune,core,topic_redirect_prune,,moved
95,app=core&module=settings&controller=posting&tab=general&searchResult=form_topic_redirect_prune,core,topic_redirect_prune,,shadow
96,app=core&module=settings&controller=posting&tab=general&searchResult=form_reviews_rating_out_of,core,reviews_rating_out_of,,ratings
97,app=core&module=settings&controller=posting&tab=general&searchResult=form_merge_concurrent_posts,core,merge_concurrent_posts,,merge
98,app=core&module=settings&controller=posting&tab=general&searchResult=form_merge_concurrent_posts,core,merge_concurrent_posts,,concurrent
99,app=core&module=settings&controller=posting&tab=general&searchResult=form_max_video_width,core,max_video_width,,youtube
100,app=core&module=settings&controller=posting&tab=general&searchResult=form_merge_concurrent_posts,core,merge_concurrent_posts,,combine
101,app=core&module=settings&controller=posting&tab=general&searchResult=form_max_video_width,core,max_video_width,,media
102,app=core&module=settings&controller=posting&tab=general&searchResult=form_max_video_width,core,max_video_width,,videos
103,app=core&module=settings&controller=posting&tab=general&searchResult=form_max_video_width,core,max_video_width,,vimeo
104,app=core&module=settings&controller=posting&tab=general&searchResult=form_max_video_width,core,max_video_width,,embedded
105,app=core&module=settings&controller=posting&tab=general&searchResult=form_flood_control,core,flood_control,,limit
106,app=core&module=settings&controller=posting&tab=general&searchResult=form_attach_allowed_types,core,attach_allowed_types,,extensions
107,app=core&module=settings&controller=posting&tab=general&searchResult=form_max_title_length,core,max_title_length,,titles
108,app=core&module=settings&controller=posting&tab=general&searchResult=form_flood_control,core,flood_control,,posting
109,app=core&module=settings&controller=posting&tab=general&searchResult=form_flood_control,core,flood_control,,flood
110,app=core&module=settings&controller=posting&tab=general&searchResult=form_edit_log,core,edit_log,,log
111,app=core&module=settings&controller=posting&tab=general&searchResult=form_edit_log,core,edit_log,,edit
112,app=core&module=settings&controller=posting&tab=general&searchResult=form_attach_allowed_types,core,attach_allowed_types,,uploads
113,app=core&module=settings&controller=posting&tab=general&searchResult=form_attach_allowed_types,core,attach_allowed_types,,attachments
114,app=core&module=settings&controller=posting&tab=general&searchResult=form_allow_remote_images,core,allow_remote_images,,remote
115,app=core&module=settings&controller=posting&tab=general&searchResult=form_allow_remote_images,core,allow_remote_images,,linked
116,app=core&module=settings&controller=posting&tab=general&searchResult=attachment_image_size,core,attachment_image_size,,images
117,app=core&module=settings&controller=posting&tab=general&searchResult=attachment_image_size,core,attachment_image_size,,thumbnails
118,app=core&module=settings&controller=posting&tab=general&searchResult=attachment_image_size,core,attachment_image_size,,uploads
119,app=core&module=settings&controller=posting&tab=general&searchResult=form_allow_remote_images,core,allow_remote_images,,images
120,app=core&module=settings&controller=posting&tab=general&searchResult=form_allow_remote_images,core,allow_remote_images,,external
121,app=core&module=settings&controller=posting&searchResult=remote_image_proxy_cache,core,image_proxy_cache_period,posting_manage,cache
